datetime,price,volume
6/27/19 15:19,276.4,1700
6/27/19 15:20,276.2,3300
6/27/19 15:21,276.2,7400
6/27/19 15:22,276.2,7800
6/27/19 15:23,276.2,6500
6/27/19 15:24,276.2,24300
6/27/19 15:25,276.2,3600
6/27/19 15:26,276.4,8700
6/27/19 15:27,276.3,5900
6/27/19 15:28,276.263,5100
6/27/19 15:29,276.2,7100
6/27/19 15:30,276.4,5300
6/27/19 15:31,276.4,6000
6/27/19 15:32,276.2,2100
6/27/19 15:33,276.2,5100
6/27/19 15:34,276.2,6700
6/27/19 15:35,276.2,12500
6/27/19 15:36,276.2,6400
6/27/19 15:37,276.2,3400
6/27/19 15:38,276.4,16000
6/27/19 15:39,276.2,6700
6/27/19 15:40,276.3,14900
6/27/19 15:41,276.2,6000
6/27/19 15:42,276.2,4000
6/27/19 15:43,276.2,10300
6/27/19 15:44,276.4,7000
6/27/19 15:45,276.4,23800
6/27/19 15:46,276.4,7400
6/27/19 15:47,276.2,11306
6/27/19 15:48,276.3,8700
6/27/19 15:49,276.2,7600
6/27/19 15:50,276.4,12900
6/27/19 15:51,276.6,52400
6/27/19 15:52,276.6,32500
6/27/19 15:53,276.6,21200
6/27/19 15:54,276.6,18200
6/27/19 15:55,276.6,23600
6/27/19 15:56,276.8,16400
6/27/19 15:57,276.8,12700
6/27/19 15:58,276.8,33600
6/27/19 15:59,276.4,44900
6/27/19 16:00,276.4,0
6/27/19 16:01,276.4,0
6/27/19 16:02,276.4,0
6/27/19 16:03,276.4,0
6/27/19 16:04,276.4,0
6/27/19 16:05,276.4,0
6/27/19 16:06,276.4,0
6/27/19 16:07,276.4,0
6/27/19 16:08,277,536900
